key,value
Bank,Tornado
City,CharlesTown
Product Type,Current
Subscriber count for Year 1,100
Subscriber count for Year 2,200
Subscriber count for Year 3,100
Product Name,current account
Revenue per subscriber,1000
 Money Needs,"Feel in Control of Finances,Feel in control of my future,Use an organisation I trusted"
Customer Needs,"Have flexibility with my provider,Find solution that is simple to use,Be dealt with Impartially"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want favourable loan terms and products for my energy efficient home,I want my bank to provide guidance on investing in green and ethical funds."
Topologies you are targeting,"Living for Today,Digital Pioneers,Ambitious Strivers"
Predicted Subscriber Count,1372
Total Revenue,1372000
